"token","layer","documented","type","nameZh","nameEn","descriptionZh","descriptionEn","defaultValue","darkValue","compactValue","darkCompactValue","sourceUrl"
"colorFillQuaternary","map","true","string","四级填充色","","最弱一级的填充色，适用于不易引起注意的色块，例如斑马纹、区分边界的色块等。","The weakest level of fill color is suitable for color blocks that are not easy to attract attention, such as zebra stripes, color blocks that distinguish boundaries, etc.","rgba(0,0,0,0.02)","rgba(255,255,255,0.04)","rgba(0,0,0,0.02)","rgba(255,255,255,0.04)","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/interface/maps/index.ts"
"colorFillSecondary","map","true","string","二级填充色","","二级填充色可以较为明显地勾勒出元素形体，如 Rate、Skeleton 等。也可以作为三级填充色的 Hover 状态，如 Table 等。","The second level of fill color can outline the shape of the element more clearly, such as Rate, Skeleton, etc. It can also be used as the Hover state of the third level of fill color, such as Table, etc.","rgba(0,0,0,0.06)","rgba(255,255,255,0.12)","rgba(0,0,0,0.06)","rgba(255,255,255,0.12)","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/interface/maps/index.ts"
"colorFillTertiary","map","true","string","三级填充色","","三级填充色用于勾勒出元素形体的场景，如 Slider、Segmented 等。如无强调需求的情况下，建议使用三级填色作为默认填色。","The third level of fill color is used to outline the shape of the element, such as Slider, Segmented, etc. If there is no emphasis requirement, it is recommended to use the third level of fill color as the default fill color.","rgba(0,0,0,0.04)","rgba(255,255,255,0.08)","rgba(0,0,0,0.04)","rgba(255,255,255,0.08)","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/interface/maps/index.ts"
"colorHighlight","alias","true","string","高亮颜色","Highlight color","控制页面元素高亮时的颜色。","Control the color of page element when highlighted.","#ff4d4f","#dc4446","#ff4d4f","#dc4446","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/interface/alias.ts"
"colorIcon","alias","true","string","弱操作图标颜色
 *","Weak action icon color
 *","控制弱操作图标的颜色，例如 allowClear 或 Alert 关闭按钮。
 *","Weak action. Such as `allowClear` or Alert close button","rgba(0,0,0,0.45)","rgba(255,255,255,0.45)","rgba(0,0,0,0.45)","rgba(255,255,255,0.45)","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/interface/alias.ts"
"colorIconHover","alias","true","string","弱操作图标悬浮态颜色","Weak action icon hover color","控制弱操作图标在悬浮状态下的颜色，例如 allowClear 或 Alert 关闭按钮。","Weak action hover color. Such as `allowClear` or Alert close button","rgba(0,0,0,0.88)","rgba(255,255,255,0.85)","rgba(0,0,0,0.88)","rgba(255,255,255,0.85)","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/interface/alias.ts"
"colorInfo","seed","true","string","信息色","Info Color","用于表示操作信息的 Token 序列，如 Alert 、Tag、 Progress 等组件都有用到该组梯度变量。","Used to represent the operation information of the Token sequence, such as Alert, Tag, Progress, and other components use these map tokens.","#1677ff","#1668dc","#1677ff","#1668dc","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/interface/seeds.ts"
"colorInfoActive","map","true","string","信息色的深色激活态","Active state of dark color of information color","信息色的深色激活态。","Active state of dark color of information color.","#0958d9","#1554ad","#0958d9","#1554ad","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/interface/maps/index.ts"
"colorInfoBg","map","true","string","信息色的浅色背景颜色","Light background color of information color","信息色的浅色背景颜色。","Light background color of information color.","#e6f4ff","#111a2c","#e6f4ff","#111a2c","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/interface/maps/index.ts"
"colorInfoBgHover","map","true","string","信息色的浅色背景色悬浮态","Hover state of light background color of information color","信息色的浅色背景色悬浮态。","Hover state of light background color of information color.","#bae0ff","#112545","#bae0ff","#112545","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/interface/maps/index.ts"
"colorInfoBorder","map","true","string","信息色的描边色","Border color of information color","信息色的描边色。","Border color of information color.","#91caff","#15325b","#91caff","#15325b","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/interface/maps/index.ts"
"colorInfoBorderHover","map","true","string","信息色的描边色悬浮态","Hover state of border color of information color","信息色的描边色悬浮态。","Hover state of border color of information color.","#69b1ff","#15417e","#69b1ff","#15417e","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/interface/maps/index.ts"
"colorInfoHover","map","true","string","信息色的深色悬浮态","Hover state of dark color of information color","信息色的深色悬浮态。","Hover state of dark color of information color.","#69b1ff","#15417e","#69b1ff","#15417e","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/interface/maps/index.ts"
"colorInfoText","map","true","string","信息色的文本默认态","Default state of text color of information color","信息色的文本默认态。","Default state of text color of information color.","#1677ff","#1668dc","#1677ff","#1668dc","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/interface/maps/index.ts"
"colorInfoTextActive","map","true","string","信息色的文本激活态","Active state of text color of information color","信息色的文本激活态。","Active state of text color of information color.","#0958d9","#1554ad","#0958d9","#1554ad","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/interface/maps/index.ts"
"colorInfoTextHover","map","true","string","信息色的文本悬浮态","Hover state of text color of information color","信息色的文本悬浮态。","Hover state of text color of information color.","#4096ff","#3c89e8","#4096ff","#3c89e8","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/interface/maps/index.ts"
"colorLink","seed","true","string","超链接颜色","Hyperlink color","控制超链接的颜色。","Control the color of hyperlink.","#1677ff","#1668dc","#1677ff","#1668dc","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/interface/seeds.ts"
"colorLinkActive","map","true","string","超链接激活颜色","Hyperlink active color","控制超链接被点击时的颜色。","Control the color of hyperlink when clicked.","#0958d9","#1554ad","#0958d9","#1554ad","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/interface/maps/index.ts"
"colorLinkHover","map","true","string","超链接悬浮颜色","Hyperlink hover color","控制超链接悬浮时的颜色。","Control the color of hyperlink when hovering.","#69b1ff","#15417e","#69b1ff","#15417e","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/interface/maps/index.ts"
"colorPrimary","seed","true","string","品牌主色","Brand Color","品牌色是体现产品特性和传播理念最直观的视觉元素之一。在你完成品牌主色的选取之后，我们会自动帮你生成一套完整的色板，并赋予它们有效的设计语义","Brand color is one of the most direct visual elements to reflect the characteristics and communication of the product. After you have selected the brand color, we will automatically generate a complete color palette and assign it effective design semantics.","#1677ff","#1668dc","#1677ff","#1668dc","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/interface/seeds.ts"
"colorPrimaryActive","map","true","string","主色激活态","Active state of primary color","主色梯度下的深色激活态。","Dark active state under the main color gradient.","#0958d9","#1554ad","#0958d9","#1554ad","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/interface/maps/index.ts"
"colorPrimaryBg","map","true","string","主色浅色背景色","Light background color of primary color","主色浅色背景颜色，一般用于视觉层级较弱的选中状态。","Light background color of primary color, usually used for weak visual level selection state.","#e6f4ff","#15325b","#e6f4ff","#15325b","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/interface/maps/index.ts"
"colorPrimaryBgHover","map","true","string","主色浅色背景悬浮态","Hover state of light background color of primary color","与主色浅色背景颜色相对应的悬浮态颜色。","The hover state color corresponding to the light background color of the primary color.","#bae0ff","#15417e","#bae0ff","#15417e","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/interface/maps/index.ts"
"colorPrimaryBorder","map","true","string","主色描边色","Border color of primary color","主色梯度下的描边用色，用在 Slider 等组件的描边上。","The stroke color under the main color gradient, used on the stroke of components such as Slider.","#91caff","#15325b","#91caff","#15325b","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/interface/maps/index.ts"
"colorPrimaryBorderHover","map","true","string","主色描边色悬浮态","Hover state of border color of primary color","主色梯度下的描边用色的悬浮态，Slider 、Button 等组件的描边 Hover 时会使用。","The hover state of the stroke color under the main color gradient, which will be used when the stroke Hover of components such as Slider and Button.","#69b1ff","#15417e","#69b1ff","#15417e","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/interface/maps/index.ts"
"colorPrimaryHover","map","true","string","主色悬浮态","Hover state of primary color","主色梯度下的悬浮态。","Hover state under the main color gradient.","#4096ff","#3c89e8","#4096ff","#3c89e8","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/interface/maps/index.ts"
"colorPrimaryText","map","true","string","主色文本","Text color of primary color","主色梯度下的文本颜色。","Text color under the main color gradient.","#1677ff","#1668dc","#1677ff","#1668dc","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/interface/maps/index.ts"
"colorPrimaryTextActive","map","true","string","主色文本激活态","Active state of text color of primary color","主色梯度下的文本激活态。","Active state of text color under the main color gradient.","#0958d9","#1554ad","#0958d9","#1554ad","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/interface/maps/index.ts"
"colorPrimaryTextHover","map","true","string","主色文本悬浮态","Hover state of text color of primary color","主色梯度下的文本悬浮态。","Hover state of text color under the main color gradient.","#4096ff","#3c89e8","#4096ff","#3c89e8","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/interface/maps/index.ts"
"colorShadow","runtime-computed","false","string","","","","","#000","rgba(255, 255, 255, 0.2)","#000","rgba(255, 255, 255, 0.2)","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/useToken.ts"
"colorSplit","alias","true","string","分割线颜色","Separator Color","用于作为分割线的颜色，此颜色和 colorBorderSecondary 的颜色一致，但是用的是透明色。","Used as the color of separator, this color is the same as colorBorderSecondary but with transparency.","rgba(5,5,5,0.06)","rgba(253,253,253,0.12)","rgba(5,5,5,0.06)","rgba(253,253,253,0.12)","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/interface/alias.ts"
"colorSuccess","seed","true","string","成功色","Success Color","用于表示操作成功的 Token 序列，如 Result、Progress 等组件会使用该组梯度变量。","Used to represent the token sequence of operation success, such as Result, Progress and other components will use these map tokens.","#52c41a","#49aa19","#52c41a","#49aa19","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/interface/seeds.ts"
"colorSuccessActive","map","true","string","成功色的深色激活态","Active State Color of Dark Success","成功色的深色激活态","Active state color of dark success color","#389e0d","#3c8618","#389e0d","#3c8618","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/interface/maps/index.ts"
"colorSuccessBg","map","true","string","成功色的浅色背景颜色","Light Background Color of Success Color","成功色的浅色背景颜色，用于 Tag 和 Alert 的成功态背景色","Light background color of success color, used for Tag and Alert success state background color","#f6ffed","#162312","#f6ffed","#162312","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/interface/maps/index.ts"
"colorSuccessBgHover","map","true","string","成功色的浅色背景色悬浮态","Hover State Color of Light Success Background","成功色浅色背景颜色，一般用于视觉层级较弱的选中状态，不过 antd 目前没有使用到该 token","Light background color of success color, but antd does not use this token currently","#d9f7be","#1d3712","#d9f7be","#1d3712","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/interface/maps/index.ts"
"colorSuccessBorder","map","true","string","成功色的描边色","Border Color of Success Color","成功色的描边色，用于 Tag 和 Alert 的成功态描边色","Border color of success color, used for Tag and Alert success state border color","#b7eb8f","#274916","#b7eb8f","#274916","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/interface/maps/index.ts"
"colorSuccessBorderHover","map","true","string","成功色的描边色悬浮态","Hover State Color of Success Border","成功色的描边色悬浮态","Hover state color of success color border","#95de64","#306317","#95de64","#306317","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/interface/maps/index.ts"
"colorSuccessHover","map","true","string","成功色的深色悬浮态","Hover State Color of Dark Success","成功色的深色悬浮态","Hover state color of dark success color","#95de64","#306317","#95de64","#306317","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/interface/maps/index.ts"
"colorSuccessText","map","true","string","成功色的文本默认态","Default State Color of Success Text","成功色的文本默认态","Default state color of success color text","#52c41a","#49aa19","#52c41a","#49aa19","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/interface/maps/index.ts"
"colorSuccessTextActive","map","true","string","成功色的文本激活态","Active State Color of Success Text","成功色的文本激活态","Active state color of success color text","#389e0d","#3c8618","#389e0d","#3c8618","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/interface/maps/index.ts"
"colorSuccessTextHover","map","true","string","成功色的文本悬浮态","Hover State Color of Success Text","成功色的文本悬浮态","Hover state color of success color text","#73d13d","#6abe39","#73d13d","#6abe39","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/interface/maps/index.ts"
"colorText","map","true","string","一级文本色","Text Color","最深的文本色。为了符合W3C标准，默认的文本颜色使用了该色，同时这个颜色也是最深的中性色。","Default text color which comply with W3C standards, and this color is also the darkest neutral color.","rgba(0,0,0,0.88)","rgba(255,255,255,0.85)","rgba(0,0,0,0.88)","rgba(255,255,255,0.85)","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/interface/maps/index.ts"
"colorTextBase","seed","true","string","基础文本色","Seed Text Color","用于派生文本色梯度的基础变量，v5 中我们添加了一层文本色的派生算法可以产出梯度明确的文本色的梯度变量。但请不要在代码中直接使用该 Seed Token ！","Used to derive the base variable of the text color gradient. In v5, we added a layer of text color derivation algorithm to produce gradient variables of text color gradient. But please do not use this Seed Token directly in the code!","#000","#fff","#000","#fff","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/interface/seeds.ts"
"colorTextDescription","alias","true","string","文本描述字体颜色","Text description font color","控制文本描述字体颜色。","Control the font color of text description.","rgba(0,0,0,0.45)","rgba(255,255,255,0.45)","rgba(0,0,0,0.45)","rgba(255,255,255,0.45)","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/interface/alias.ts"
"colorTextDisabled","alias","true","string","禁用字体颜色","Disabled Text Color","控制禁用状态下的字体颜色。","Control the color of text in disabled state.","rgba(0,0,0,0.25)","rgba(255,255,255,0.25)","rgba(0,0,0,0.25)","rgba(255,255,255,0.25)","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/interface/alias.ts"
"colorTextHeading","alias","true","string","标题字体颜色","Heading Text Color","控制标题字体颜色。","Control the font color of heading.","rgba(0,0,0,0.88)","rgba(255,255,255,0.85)","rgba(0,0,0,0.88)","rgba(255,255,255,0.85)","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/interface/alias.ts"
"colorTextLabel","alias","true","string","文本标签字体颜色","Text label font color","控制文本标签字体颜色。","Control the font color of text label.","rgba(0,0,0,0.65)","rgba(255,255,255,0.65)","rgba(0,0,0,0.65)","rgba(255,255,255,0.65)","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/interface/alias.ts"
"colorTextLightSolid","alias","true","string","固定文本高亮颜色","Fixed text highlight color","控制带背景色的文本，例如 Primary Button 组件中的文本高亮颜色。","Control the highlight color of text with background color, such as the text in Primary Button components.","#fff","#fff","#fff","#fff","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/interface/alias.ts"
"colorTextPlaceholder","alias","true","string","占位文本颜色","Placeholder Text Color","控制占位文本的颜色。","Control the color of placeholder text.","rgba(0,0,0,0.25)","rgba(255,255,255,0.25)","rgba(0,0,0,0.25)","rgba(255,255,255,0.25)","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/interface/alias.ts"
"colorTextQuaternary","map","true","string","四级文本色","","第四级文本色是最浅的文本色，例如表单的输入提示文本、禁用色文本等。","The fourth level of text color is the lightest text color, such as form input prompt text, disabled color text, etc.","rgba(0,0,0,0.25)","rgba(255,255,255,0.25)","rgba(0,0,0,0.25)","rgba(255,255,255,0.25)","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/interface/maps/index.ts"
"colorTextSecondary","map","true","string","二级文本色","Secondary Text Color","作为第二梯度的文本色，一般用在不那么需要强化文本颜色的场景，例如 Label 文本、Menu 的文本选中态等场景。","The second level of text color is generally used in scenarios where text color is not emphasized, such as label text, menu text selection state, etc.","rgba(0,0,0,0.65)","rgba(255,255,255,0.65)","rgba(0,0,0,0.65)","rgba(255,255,255,0.65)","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/interface/maps/index.ts"
"colorTextTertiary","map","true","string","三级文本色","","第三级文本色一般用于描述性文本，例如表单的中的补充说明文本、列表的描述性文本等场景。","The third level of text color is generally used for descriptive text, such as form supplementary explanation text, list descriptive text, etc.","rgba(0,0,0,0.45)","rgba(255,255,255,0.45)","rgba(0,0,0,0.45)","rgba(255,255,255,0.45)","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/interface/maps/index.ts"
"colorWarning","seed","true","string","警戒色","Warning Color","用于表示操作警告的 Token 序列，如 Notification、 Alert等警告类组件或 Input 输入类等组件会使用该组梯度变量。","Used to represent the warning map token, such as Notification, Alert, etc. Alert or Control component(like Input) will use these map tokens.","#faad14","#d89614","#faad14","#d89614","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/interface/seeds.ts"
"colorWarningActive","map","true","string","警戒色的深色激活态","Warning active color","警戒色的深色激活态","The active state of the warning color.","#d48806","#aa7714","#d48806","#aa7714","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/interface/maps/index.ts"
"colorWarningAffix","alias","true","string","警告状态下前后缀颜色","Warning affix color","控制表单控件前后缀在警告状态下的颜色。","Control the color of form control prefix/suffix in warning state.","#faad14","#d89614","#faad14","#d89614","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/interface/alias.ts"
"colorWarningBg","map","true","string","警戒色的浅色背景颜色","Warning background color","警戒色的浅色背景颜色","The background color of the warning state.","#fffbe6","#2b2111","#fffbe6","#2b2111","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/interface/maps/index.ts"
"colorWarningBgHover","map","true","string","警戒色的浅色背景色悬浮态","Warning background color hover state","警戒色的浅色背景色悬浮态","The hover state background color of the warning state.","#fff1b8","#443111","#fff1b8","#443111","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/interface/maps/index.ts"
"colorWarningBorder","map","true","string","警戒色的描边色","Warning border color","警戒色的描边色","The border color of the warning state.","#ffe58f","#594214","#ffe58f","#594214","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/interface/maps/index.ts"
"colorWarningBorderHover","map","true","string","警戒色的描边色悬浮态","Warning border color hover state","警戒色的描边色悬浮态","The hover state border color of the warning state.","#ffd666","#7c5914","#ffd666","#7c5914","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/interface/maps/index.ts"
"colorWarningHover","map","true","string","警戒色的深色悬浮态","Warning hover color","警戒色的深色悬浮态","The hover state of the warning color.","#ffd666","#7c5914","#ffd666","#7c5914","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/interface/maps/index.ts"
"colorWarningOutline","alias","true","string","警告状态下的 Outline 颜色","Warning outline color","控制输入组件警告状态下的外轮廓线颜色。","Control the outline color of input component in warning state.","rgba(255,215,5,0.1)","rgba(173,107,0,0.15)","rgba(255,215,5,0.1)","rgba(173,107,0,0.15)","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/interface/alias.ts"
"colorWarningText","map","true","string","警戒色的文本默认态","Warning text default state","警戒色的文本默认态","The default state of the text in the warning color.","#faad14","#d89614","#faad14","#d89614","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/interface/maps/index.ts"
"colorWarningTextActive","map","true","string","警戒色的文本激活态","Warning text active state","警戒色的文本激活态","The active state of the text in the warning color.","#d48806","#aa7714","#d48806","#aa7714","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/interface/maps/index.ts"
"colorWarningTextHover","map","true","string","警戒色的文本悬浮态","Warning text hover state","警戒色的文本悬浮态","The hover state of the text in the warning color.","#ffc53d","#e8b339","#ffc53d","#e8b339","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/interface/maps/index.ts"
"colorWhite","map","true","string","纯白色","","不随主题变化的纯白色","Pure white color don't changed by theme","#fff","#fff","#fff","#fff","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/interface/maps/index.ts"
"controlHeight","seed","true","number","基础高度","Base Control Height","Ant Design 中按钮和输入框等基础控件的高度","The height of the basic controls such as buttons and input boxes in Ant Design","32","32","28","28","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/interface/seeds.ts"
"controlHeightLG","map","true","number","较高的组件高度","LG component height","较高的组件高度","LG component height","40","40","35","35","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/interface/maps/index.ts"
"controlHeightSM","map","true","number","较小的组件高度","SM component height","较小的组件高度","SM component height","24","24","21","21","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/interface/maps/index.ts"
"controlHeightXS","map","true","number","更小的组件高度","XS component height","更小的组件高度","XS component height","16","16","14","14","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/interface/maps/index.ts"
"controlInteractiveSize","alias","true","number","控制组件的交互大小","Interactive size of control component","控制组件的交互大小。","Control the interactive size of control component.","16","16","14","14","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/interface/alias.ts"
"controlItemBgActive","alias","true","string","控制组件项在激活状态下的背景颜色","Background color of control component item when active","控制组件项在激活状态下的背景颜色。","Control the background color of control component item when active.","#e6f4ff","#15325b","#e6f4ff","#15325b","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/interface/alias.ts"
"controlItemBgActiveDisabled","alias","true","string","控制组件项在禁用状态下的激活背景颜色","Background color of control component item when active and disabled","控制组件项在禁用状态下的激活背景颜色。","Control the background color of control component item when active and disabled.","rgba(0,0,0,0.15)","rgba(255,255,255,0.18)","rgba(0,0,0,0.15)","rgba(255,255,255,0.18)","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/interface/alias.ts"
"controlItemBgActiveHover","alias","true","string","控制组件项在鼠标悬浮且激活状态下的背景颜色","Background color of control component item when hovering and active","控制组件项在鼠标悬浮且激活状态下的背景颜色。","Control the background color of control component item when hovering and active.","#bae0ff","#15417e","#bae0ff","#15417e","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/interface/alias.ts"
"controlItemBgHover","alias","true","string","控制组件项在鼠标悬浮时的背景颜色","Background color of control component item when hovering","控制组件项在鼠标悬浮时的背景颜色。","Control the background color of control component item when hovering.","rgba(0,0,0,0.04)","rgba(255,255,255,0.08)","rgba(0,0,0,0.04)","rgba(255,255,255,0.08)","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/interface/alias.ts"
"controlOutline","alias","true","string","输入组件的 Outline 颜色","Input component outline color","控制输入组件的外轮廓线颜色。","Control the outline color of input component.","rgba(5,145,255,0.1)","rgba(23,117,249,0.31)","rgba(5,145,255,0.1)","rgba(23,117,249,0.31)","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/interface/alias.ts"
"controlOutlineWidth","alias","true","number","输入组件的外轮廓线宽度","Input component outline width","控制输入组件的外轮廓线宽度。","Control the outline width of input component.","2","2","2","2","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/interface/alias.ts"
"controlPaddingHorizontal","alias","true","number","控制水平内间距","Control horizontal padding","控制元素水平内间距。","Control the horizontal padding of an element.","12","12","12","12","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/interface/alias.ts"
"controlPaddingHorizontalSM","alias","true","number","控制中小尺寸水平内间距","Control horizontal padding with a small-medium size","控制元素中小尺寸水平内间距。","Control the horizontal padding of an element with a small-medium size.","8","8","8","8","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/interface/alias.ts"
"controlTmpOutline","runtime-computed","false","string","","","","","rgba(0,0,0,0.02)","rgba(255,255,255,0.04)","rgba(0,0,0,0.02)","rgba(255,255,255,0.04)","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/useToken.ts"
"cyan","seed","true","color","预设cyan颜色","Preset cyan color","预设cyan颜色","Preset cyan color","#13C2C2","#13C2C2","#13C2C2","#13C2C2","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/interface/seeds.ts"
"cyan-1","runtime-computed","false","string","","","","","#e6fffb","#112123","#e6fffb","#112123","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/useToken.ts"
"cyan-10","runtime-computed","false","string","","","","","#002329","#b2f1e8","#002329","#b2f1e8","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/useToken.ts"
"cyan-2","runtime-computed","false","string","","","","","#b5f5ec","#113536","#b5f5ec","#113536","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/useToken.ts"
"cyan-3","runtime-computed","false","string","","","","","#87e8de","#144848","#87e8de","#144848","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/useToken.ts"
"cyan-4","runtime-computed","false","string","","","","","#5cdbd3","#146262","#5cdbd3","#146262","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/useToken.ts"
